isolate,Tb927.1.3230_T,Tb927.1.3230_C,Tb927.1.3230_A,Tb927.1.3230_G,Tb927.10.13980_T,Tb927.10.13980_C,Tb927.10.13980_A,Tb927.10.13980_G,Tb927.10.15300_T,Tb927.10.15300_C,Tb927.10.15300_A,Tb927.10.15300_G,Tb927.10.1820_T,Tb927.10.1820_C,Tb927.10.1820_A,Tb927.10.1820_G,Tb927.10.2810_T,Tb927.10.2810_C,Tb927.10.2810_A,Tb927.10.2810_G,Tb927.10.4720_T,Tb927.10.4720_C,Tb927.10.4720_A,Tb927.10.4720_G,Tb927.11.1940_T,Tb927.11.1940_C,Tb927.11.1940_A,Tb927.11.1940_G,Tb927.11.3980_T,Tb927.11.3980_C,Tb927.11.3980_A,Tb927.11.3980_G,Tb927.3.4350_T,Tb927.3.4350_C,Tb927.3.4350_A,Tb927.3.4350_G,Tb927.4.980_T,Tb927.4.980_C,Tb927.4.980_A,Tb927.4.980_G,Tb927.5.1220_T,Tb927.5.1220_C,Tb927.5.1220_A,Tb927.5.1220_G,Tb927.6.1100_T,Tb927.6.1100_C,Tb927.6.1100_A,Tb927.6.1100_G,Tb927.6.2630_T,Tb927.6.2630_C,Tb927.6.2630_A,Tb927.6.2630_G,Tb927.6.3660_T,Tb927.6.3660_C,Tb927.6.3660_A,Tb927.6.3660_G,Tb927.6.5000_T,Tb927.6.5000_C,Tb927.6.5000_A,Tb927.6.5000_G,Tb927.7.6560_T,Tb927.7.6560_C,Tb927.7.6560_A,Tb927.7.6560_G,Tb927.8.3480_T,Tb927.8.3480_C,Tb927.8.3480_A,Tb927.8.3480_G,Tb927.8.3810_T,Tb927.8.3810_C,Tb927.8.3810_A,Tb927.8.3810_G,Tb927.9.10660_T,Tb927.9.10660_C,Tb927.9.10660_A,Tb927.9.10660_G
Nabe,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22899,0.23594,0.25855,0.27652,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23172,0.27314,0.24466,0.25049,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
OUSOU,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22899,0.23594,0.25855,0.27652,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23730,0.22997,0.24462,0.28811,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
OVI,0.22876,0.25584,0.21195,0.30345,0.26409,0.22866,0.23510,0.27214,0.22790,0.23686,0.25794,0.27730,0.28137,0.20659,0.23701,0.27503,0.22387,0.23274,0.25247,0.29093,0.23502,0.22472,0.24625,0.29401,0.23707,0.23348,0.27443,0.25503,0.23166,0.27156,0.24646,0.25032,0.23773,0.22997,0.24376,0.28854,0.25157,0.21923,0.19946,0.32974,0.25709,0.20390,0.28901,0.25000,0.22087,0.23645,0.25813,0.28455,0.25723,0.23516,0.22831,0.27930,0.20894,0.21256,0.28261,0.29589,0.24027,0.18866,0.27580,0.29526,0.21386,0.18879,0.29351,0.30383,0.24202,0.22002,0.24587,0.29208,0.20940,0.25470,0.23932,0.29658,0.26245,0.21264,0.25096,0.27395
Pakwa,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22899,0.23594,0.25855,0.27652,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23172,0.27314,0.24466,0.25049,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
Philippines,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27443,0.25431,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20727,0.21455,0.28121,0.29697,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
ROUPO-VAVOUA--80-MURAZ-14,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22899,0.23594,0.25855,0.27652,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23730,0.22997,0.24462,0.28811,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
RoTat_1.2,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22830,0.23582,0.25868,0.27720,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27443,0.25431,0.23262,0.27225,0.24301,0.25211,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
Rumphi,0.22876,0.25444,0.21148,0.30532,0.26442,0.22756,0.23718,0.27083,0.22877,0.23599,0.25765,0.27759,0.28010,0.20532,0.23954,0.27503,0.21791,0.23483,0.25871,0.28856,0.23156,0.22409,0.24743,0.29692,0.23635,0.23420,0.27443,0.25503,0.23146,0.27208,0.24629,0.25016,0.23730,0.22997,0.24462,0.28811,0.25315,0.21982,0.19910,0.32793,0.25847,0.20499,0.28699,0.24955,0.22064,0.23625,0.25933,0.28377,0.25517,0.23525,0.22989,0.27969,0.20531,0.21739,0.27899,0.29831,0.23942,0.19036,0.27411,0.29611,0.21439,0.19090,0.29515,0.29956,0.24503,0.22130,0.24614,0.28753,0.20940,0.25470,0.23846,0.29744,0.26286,0.21524,0.24762,0.27429
STIB-816,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27371,0.25503,0.23217,0.27302,0.24319,0.25162,0.23717,0.23027,0.24493,0.28762,0.25269,0.21864,0.19892,0.32975,0.26025,0.20143,0.28877,0.24955,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20727,0.21576,0.28121,0.29576,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
STIB-851,0.22925,0.25363,0.21191,0.30520,0.26437,0.22496,0.23645,0.27422,0.22908,0.23574,0.25804,0.27715,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23491,0.22470,0.24605,0.29434,0.23563,0.23491,0.27443,0.25503,0.23102,0.27220,0.24646,0.25032,0.23748,0.23014,0.24396,0.28843,0.25474,0.21861,0.19603,0.33062,0.25709,0.20390,0.28901,0.25000,0.22176,0.23493,0.25641,0.28690,0.25740,0.23462,0.22779,0.28018,0.20531,0.21618,0.28140,0.29710,0.24027,0.18951,0.27411,0.29611,0.21439,0.19090,0.29662,0.29809,0.24430,0.21981,0.24930,0.28659,0.21181,0.25434,0.23958,0.29427,0.26476,0.21333,0.24762,0.27429
STIB247,0.22958,0.25352,0.21174,0.30516,0.26437,0.22496,0.23645,0.27422,0.22879,0.23603,0.25833,0.27686,0.27883,0.20659,0.23828,0.27630,0.22090,0.23483,0.25572,0.28856,0.23315,0.22472,0.24532,0.29682,0.23644,0.23355,0.27549,0.25452,0.23197,0.27096,0.24626,0.25081,0.23735,0.23000,0.24427,0.28837,0.25543,0.21830,0.19656,0.32971,0.25847,0.20499,0.28699,0.24955,0.22292,0.23340,0.25716,0.28651,0.25576,0.23502,0.22734,0.28187,0.20833,0.21569,0.27819,0.29779,0.24003,0.18999,0.27226,0.29771,0.21481,0.19259,0.29333,0.29926,0.24419,0.22038,0.24917,0.28627,0.21149,0.25413,0.24021,0.29417,0.26706,0.21053,0.24366,0.27875
STIB386,0.23030,0.25361,0.21166,0.30443,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23529,0.22596,0.24276,0.29599,0.23779,0.23348,0.27371,0.25503,0.23102,0.27220,0.24517,0.25161,0.23760,0.23027,0.24407,0.28806,0.25269,0.21864,0.19892,0.32975,0.25709,0.20390,0.28901,0.25000,0.22177,0.23682,0.25599,0.28542,0.25816,0.23386,0.22627,0.28170,0.20727,0.21576,0.28121,0.29576,0.24065,0.18878,0.27296,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22204,0.24890,0.28618,0.20940,0.25385,0.24103,0.29573,0.26550,0.21124,0.24612,0.27713
STIB805,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23620,0.25846,0.27696,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27443,0.25431,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20727,0.21455,0.28121,0.29697,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
STIB818,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27443,0.25431,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
STIB900,0.22876,0.25444,0.21148,0.30532,0.26442,0.22756,0.23718,0.27083,0.22877,0.23599,0.25765,0.27759,0.27904,0.20581,0.23864,0.27652,0.22189,0.23471,0.25542,0.28797,0.23426,0.22500,0.24537,0.29537,0.23635,0.23420,0.27443,0.25503,0.23082,0.27144,0.24629,0.25145,0.23748,0.23014,0.24396,0.28843,0.25269,0.21953,0.19803,0.32975,0.25668,0.20499,0.28877,0.24955,0.22132,0.23557,0.26001,0.28310,0.25594,0.23218,0.22989,0.28199,0.20531,0.21739,0.27899,0.29831,0.24003,0.18914,0.27481,0.29601,0.21439,0.19090,0.29515,0.29956,0.24397,0.22149,0.24671,0.28783,0.20940,0.25470,0.23846,0.29744,0.26286,0.21524,0.24762,0.27429
SVP,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23717,0.23027,0.24493,0.28762,0.25337,0.21833,0.19946,0.32884,0.26025,0.20143,0.28877,0.24955,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
Te-Ap-N-D1,0.22876,0.25584,0.21195,0.30345,0.26409,0.22866,0.23510,0.27214,0.22790,0.23686,0.25794,0.27730,0.28137,0.20659,0.23701,0.27503,0.22387,0.23274,0.25247,0.29093,0.23502,0.22472,0.24625,0.29401,0.23707,0.23348,0.27443,0.25503,0.23166,0.27156,0.24646,0.25032,0.23773,0.22997,0.24376,0.28854,0.25157,0.21923,0.19946,0.32974,0.25709,0.20390,0.28901,0.25000,0.22087,0.23645,0.25813,0.28455,0.25723,0.23516,0.22831,0.27930,0.20894,0.21256,0.28261,0.29589,0.24027,0.18866,0.27580,0.29526,0.21386,0.18879,0.29351,0.30383,0.24202,0.22002,0.24587,0.29208,0.20940,0.25470,0.23932,0.29658,0.26245,0.21264,0.25096,0.27395
UPA_PO,0.22876,0.25444,0.21195,0.30486,0.26437,0.22496,0.23645,0.27422,0.22908,0.23574,0.25804,0.27715,0.27904,0.20581,0.23864,0.27652,0.22024,0.23512,0.25694,0.28770,0.23519,0.22500,0.24537,0.29444,0.23644,0.23355,0.27549,0.25452,0.23262,0.27160,0.24691,0.24886,0.23692,0.23044,0.24427,0.28837,0.25522,0.21889,0.19709,0.32879,0.25709,0.20390,0.28901,0.25000,0.22222,0.23313,0.26040,0.28425,0.25740,0.23462,0.22779,0.28018,0.20711,0.21446,0.28309,0.29534,0.24188,0.18974,0.27350,0.29487,0.21439,0.19090,0.29662,0.29809,0.24419,0.22038,0.24806,0.28738,0.21149,0.25413,0.24021,0.29417,0.26286,0.21524,0.24762,0.27429
Zagora-I-17,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23717,0.23027,0.24493,0.28762,0.25337,0.21833,0.19946,0.32884,0.26025,0.20143,0.28877,0.24955,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
